Symbol,Company Name
NRVANDANA,N R Vandana Tex Industries Limited
NEPTUNE,Neptune Petrochemicals Limited
NIKITA,Nikita Papers Limited
BLUEWATER,Blue Water Logistics Limited
DCCL,Dar Credit & Capital Limited
ACCPL,Accretion Pharmaceuticals Limited
INTEGRITY,Integrity Infrabuild Developers Limited
VGINFOTECH,Virtual Galaxy Infotech Limited
ARUNAYA,Arunaya Organics Limited
IWARE,Iware Supplychain Services Limited
TANKUP,Tankup Engineers Limited
SHRIAHIMSA,Shri Ahimsa Naturals Limited
ATCENERGY,ATC Energies System Limited
ACTIVEINFR,Active Infrastructures Limited
RAPIDFLEET,Rapid Fleet Management Services Limited
GCHOTELS,Grand Continent Hotels Limited
DIVINEHIRA,Divine Hira Jewellers Limited
BALAJIPHOS,Balaji Phosphates Limited
HPTL,HP Telecom India Limited
TEJASCARGO,Tejas Cargo India Limited
ROYALARC,Royal Arc Electrodes Limited
MAXVOLT,Maxvolt Energy Industries Limited
PSRAJ,P S Raj Steels Limited
VOLERCAR,Voler Car Limited
CHANDAN,Chandan Healthcare Limited
ELGNZ,Eleganz Interiors Limited
READYMIX,Readymix Construction Machinery Limited
KEN,Ken Enterprises Limited
CHAMUNDA,Chamunda Electrical Limited
REXPRO,Rexpro Enterprises Limited
EMAPARTNER,EMA Partners India Limited
KKJEWELS,Kabra Jewels Limited
BARFLEX,Barflex Polyfilms Limited
SATKARTAR,Sat Kartar Shopping Limited
DELTIC,Delta Autocorp Limited
ANYA,Anya Polytech & Fertilizers Limited
NMSTEEL,Newmalayalam Steel Limited
IDENTICAL,Identical Brains Studios Limited
SFML,Supreme Facility Management Limited
PURPLEUTED,Purple United Sales Limited
DHANLAXMI,Dhanlaxmi Crop Science Limited
ETML,Emerald Tyre Manufacturers Limited
GANESHIN,Ganesh Infraworld Limited
AGARWALTUF,Agarwal Toughened Glass India Limited
APEXECO,Apex Ecotech Limited
ABHAPOWER,Abha Power and Steel Limited
RAJPUTANA,Rajputana Biodiesel Limited
C2C,C2C Advanced Systems Limited
ITTL,Innovative Tyres & Tubes Limited
LAMOSAIC,Lamosaic India Limited
ONYX,Onyx Biotec Limited
NEELAM,Neelam Linens and Garments (India) Limited
USHAFIN,Usha Financial Services Limited
DANISH,Danish Power Limited
OBSCP,OBSC Perfection Limited
UHTL,United Heat Transfer Limited
PREMIUM,Premium Plast Limited
FRESHARA,Freshara Agro Exports Limited
LAKSHYA,Lakshya Powertech Limited
PRANIK,Pranik Logistics Limited
PARAMOUNT,Paramount Dye Tec Limited
SAJHOTELS,Saj Hotels Limited
HVAX,HVAX Technologies Limited
DIVYADHAN,Divyadhan Recycling Industries Limited
FORGEAUTO,Forge Auto International Limited
SAHASRA,Sahasra Electronic Solutions Limited
THESL,Thinking Hats Entertainment Solutions Limited
UNILEX,Unilex Colours and Chemicals Limited
TECHERA,TechEra Engineering (India) Limited
RAPPID,Rappid Valves (India) Limited
WOL3D,Wol 3D India Limited
BIKEWO,Bikewo Green Tech Limited
AVIANSH,Avi Ansh Textile Limited
SDREAMS,S D Retail Limited
PHOGLOBAL,Phoenix Overseas Limited
KALANA,Kalana Ispat Limited
PSFL,Paramount Speciality Forgings Limited
ENVIRO,Envirotech Systems Limited
DECCANTRAN,Deccan Transcon Leasing Limited
PELATRO,Pelatro Limited
OSELDEVICE,Osel Devices Limited
EXCELLENT,Excellent Wires and Packaging Limited
INNOMET,Innomet Advanced Materials Limited
SPPPOLY,SPP Polymer Limited
GAJANAND,Gajanand International Limited
AUSL,Aditya Ultra Steel Limited
SHUBHSHREE,Shubhshree Biofuels Energy Limited
VIESL,Vision Infra Equipment Solutions Limited
MYMUDRA,My Mudra Fincorp Limited
NAMOEWASTE,Namo eWaste Management Limited
JEYYAM,Jeyyam Global Foods Limited
BOSS,Boss Packaging Solutions Limited
PARAMATRIX,Paramatrix Technologies Limited
AERON,Aeron Composite Limited
JAYBEE,Jay Bee Laminations Limited
VDEAL,Vdeal System Limited
IPHL,Indian Phosphate Limited
IDEALTECHO,Ideal Technoplast Industries Limited
QVCEL,QVC Exports Limited
FORCAS,Forcas Studio Limited
BRACEPORT,Brace Port Logistics Limited
BALCO,Solve Plastic Products Limited
SUNLITE,Sunlite Recycling Industries Limited
POSITRON,Positron Energy Limited
AESTHETIK,Aesthetik Engineers Limited
PPSL,Picturepost Studios Limited
DHARIWAL,Dhariwalcorp Limited
UTSSAV,Utssav CZ Gold Jewels Limited
SSEGL,Sathlokhar Synergys E&C Global Limited
RAJINDLTD,Rajputana Industries Limited
BULKCORP,Bulkcorp International Limited
ASHALOG,Ashapura Logistics Limited
ESPRIT,Esprit Stones Limited
SATECH,S A Tech Software India Limited
TROM,Trom Industries Limited
APRAMEYA,Aprameya Engineering Limited
CHETANA,Chetana Education Limited
MIEL,Manglam Infra & Engineering Limited
VLINFRA,V.L.Infraprojects Limited
RNFI,RNFI Services Limited
KATARIA,Kataria Industries Limited
MACOBSTECH,Macobs Technologies Limited
TUNWAL,Tunwal E-Motors Limited
SATIPOLY,Sati Poly Plast Limited
PRIZOR,Prizor Viztech Limited
SAHAJSOLAR,Sahaj Solar Limited
GGBL,Ganesh Green Bharat Limited
EFFWA,Effwa Infra & Research Limited
AMBEY,Ambey Laboratories Limited
NEPHROCARE,Nephro Care India Limited
DTL,Diensten Tech Limited
AKIKO,Akiko Global Services Limited
PCCL,Petro Carbon and Chemicals Limited
DPEL,Divine Power Energy Limited
SPCL,Shivalic Power Control Limited
MASON,Mason Infratech Limited
VISAMAN,Visaman Global Sales Limited
SYLVANPLY,Sylvan Plyboard (India) Limited
MEDIORG,Medicamen Organics Limited
WINNY,Winny Immigration & Education Services Limited
FALCONTECH,Falcon Technoprojects India Limited
